Tanggal,Bawah I,Bawah II,Medium I,Medium II,Super I,Super II
03/11/2021,9650,10050,11050,11300,12050,12050
04/11/2021,9650,10050,11050,11300,12050,12050
05/11/2021,9650,10050,11050,11300,12050,12050
08/11/2021,9650,10050,11050,11300,12050,12050
09/11/2021,9650,10050,11050,11300,12050,12050
10/11/2021,9700,10050,11050,11300,12050,12050
11/11/2021,9700,10050,11050,11300,12050,12050
12/11/2021,9700,10050,11050,11300,12050,12050
15/11/2021,9700,10050,11050,11300,12050,12050
16/11/2021,9700,10050,11050,11300,12050,12050
17/11/2021,9700,10050,11050,11300,12050,12050
18/11/2021,9700,10050,11050,11300,12050,12050
19/11/2021,9700,10050,11050,11300,12050,12050
22/11/2021,9700,10050,11050,11300,12050,12050
23/11/2021,9700,10050,11050,11300,12050,12050
24/11/2021,9700,10050,11050,11300,12050,12050
25/11/2021,9700,10050,11050,11300,12050,12050
26/11/2021,9700,10050,11050,11300,12050,12050
29/11/2021,9700,10050,11050,11300,12050,12050
30/11/2021,9700,10050,11050,11300,12050,12050
01/12/2021,9700,10050,11050,11300,12050,12050
02/12/2021,9700,10050,11050,11250,12050,12050
03/12/2021,9700,10050,11050,11250,12050,12050
06/12/2021,9700,10050,11050,11250,12050,12050
07/12/2021,9700,10050,11050,11250,12050,12050
08/12/2021,9700,10050,11050,11250,12050,12050
09/12/2021,9700,10050,11050,11250,12050,12050
10/12/2021,9700,10050,11050,11250,12050,12050
13/12/2021,9700,10150,11100,11350,12100,12100
14/12/2021,9750,10150,11150,11350,12200,12150
15/12/2021,9750,10150,11150,11350,12200,12100
16/12/2021,9750,10150,11150,11350,12200,12100
17/12/2021,9650,10000,11250,11400,12200,12100
20/12/2021,9700,10000,11200,11400,12200,12100
21/12/2021,9700,10000,11200,11400,12200,12100
22/12/2021,9700,10000,11200,11400,12200,12100
23/12/2021,9700,10000,11200,11400,12200,12100
24/12/2021,9700,10000,11200,11400,12200,12100
27/12/2021,9750,10050,11200,11400,12200,12100
28/12/2021,9750,10000,11200,11400,12200,12100
29/12/2021,9750,10050,11200,11400,12200,12100
30/12/2021,9750,10050,11200,11450,12200,12100
31/12/2021,9750,10050,11250,11450,12250,12100
