Tahun,Tanggal,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II
2021,12/1/2021,9700,10050,11050,11300,12050,12050
2021,12/2/2021,9700,10050,11050,11250,12050,12050
2021,12/3/2021,9700,10050,11050,11250,12050,12050
2021,12/6/2021,9700,10050,11050,11250,12050,12050
2021,12/7/2021,9700,10050,11050,11250,12050,12050
2021,12/8/2021,9700,10050,11050,11250,12050,12050
2021,12/9/2021,9700,10050,11050,11250,12050,12050
2021,12/10/2021,9700,10050,11050,11250,12050,12050
2021,12/13/2021,9700,10150,11100,11350,12100,12100
2021,12/14/2021,9750,10150,11150,11350,12200,12150
2021,12/15/2021,9750,10150,11150,11350,12200,12100
